,ebird_code,date,duration,filename,species,number_of_notes,secondary_labels,latitude,sampling_rate,type,elevation,bitrate_of_mp3,background,country,primary_label,longitude,time
7,aldfly,2017-05-27,10,XC374636.mp3,Alder Flycatcher,Not specified,['Troglodytes aedon_House Wren'],39.7791,44100 (Hz),"male, song",1000 m,87990 (bps),House Wren (Troglodytes aedon),United States,Empidonax alnorum_Alder Flycatcher,-101.8067,14:30
8,aldfly,2011-05-28,10,XC78890.mp3,Alder Flycatcher,1-3,[],44.707,44100 (Hz),song,280 m,196821 (bps),,United States,Empidonax alnorum_Alder Flycatcher,-93.329,12:20
16,ameavo,2015-04-27,10,XC324558.mp3,American Avocet,Not specified,[],33.2016,48000 (Hz),call,-70 m,128000 (bps),,United States,Recurvirostra americana_American Avocet,-115.597,15:18
46,amekes,2015-06-25,85,XC254588.mp3,American Kestrel,Not specified,[],43.671,48000 (Hz),call,1400 m,179549 (bps),,United States,Falco sparverius_American Kestrel,-103.4506,10:30
59,amepip,2016-05-28,13,XC325263.mp3,Buff-bellied Pipit,Not specified,[],51.7942,44100 (Hz),"call, flight call",750 m,192000 (bps),,Canada,Anthus rubescens_American Pipit,-117.3863,10:30
73,amerob,2011-05-16,68,XC165292.mp3,American Robin,Not specified,[],44.5648,48000 (Hz),song,360 m,128000 (bps),,United States,Turdus migratorius_American Robin,-84.2583,05:54
113,annhum,2015-12-10,14,XC296918.mp3,Anna's Hummingbird,Not specified,[],33.3607,44100 (Hz),"male, song",380 m,128000 (bps),,United States,Calypte anna_Anna's Hummingbird,-111.7343,09:30
114,annhum,2016-07-23,16,XC328180.mp3,Anna's Hummingbird,7-20,[],38.5679,44100 (Hz),song,10 m,112176 (bps),,United States,Calypte anna_Anna's Hummingbird,-121.7639,06:00
127,baisan,2013-08-22,50,XC147073.mp3,Baird's Sandpiper,Not specified,[],-18.0427,48000 (Hz),call,3700 m,320000 (bps),,Bolivia,Calidris bairdii_Baird's Sandpiper,-67.0846,09:20
141,baleag,2015-01-07,19,XC212577.mp3,Bald Eagle,1-3,[],Not specified,44100 (Hz),flight call,? m,128000 (bps),,United States,Haliaeetus leucocephalus_Bald Eagle,Not specified,17:30
142,baleag,2015-11-19,84,XC293803.mp3,Bald Eagle,Not specified,[],28.2267,48000 (Hz),call,10 m,128000 (bps),,United States,Haliaeetus leucocephalus_Bald Eagle,-80.7645,07:58
156,banswa,2015-05-08,14,XC286532.mp3,Sand Martin,Not specified,"['Coccyzus americanus_Yellow-billed Cuckoo', 'Agelaius phoeniceus_Red-winged Blackbird', 'Melanerpes aurifrons_Golden-fronted Woodpecker', 'Arremonops rufivirgatus_Olive Sparrow', 'Zenaida asiatica_White-winged Dove', ""Tyrannus couchii_Couch's Kingbird""]",26.5151,48000 (Hz),flight call,60 m,128000 (bps),Yellow-billed Cuckoo (Coccyzus americanus); Red-winged Blackbird (Agelaius phoeniceus); Golden-fronted Woodpecker (Melanerpes aurifrons); Olive Sparrow (Arremonops rufivirgatus); White-winged Dove (Zenaida asiatica); Couch's Kingbird (Tyrannus couchii),United States,Riparia riparia_Bank Swallow,-99.1156,06:50
232,bkbwar,2018-11-12,31,XC442508.mp3,Blackburnian Warbler,Not specified,[],4.771,44100 (Hz),call,1700 m,320000 (bps),,Colombia,Setophaga fusca_Blackburnian Warbler,-75.6226,08:30
