ebird_code,date,duration,filename,species,number_of_notes,secondary_labels,latitude,sampling_rate,type,elevation,bitrate_of_mp3,background,country,primary_label,longitude,time
aldfly,2008-07-02,19,XC142065.mp3,Alder Flycatcher,Not specified,[],44.4584,44100 (Hz),call,10 m,128000 (bps),,United States,Empidonax alnorum_Alder Flycatcher,-68.9242,06:00
aldfly,2013-07-16,46,XC144674.mp3,Alder Flycatcher,Not specified,[],44.228,44100 (Hz),"""weeoo"" call",0 m,128000 (bps),,United States,Empidonax alnorum_Alder Flycatcher,-68.312,06:20
aldfly,2014-06-15,21,XC189042.mp3,Alder Flycatcher,1-3,"[""Catharus ustulatus_Swainson's Thrush"", 'Vireo olivaceus_Red-eyed Vireo', 'Leiothlypis peregrina_Tennessee Warbler', 'Vireo gilvus_Warbling Vireo']",59.0988,44100 (Hz),song,500 m,128000 (bps),Swainson's Thrush (Catharus ustulatus); Red-eyed Vireo (Vireo olivaceus); Tennessee Warbler (Leiothlypis peregrina); Warbling Vireo (Vireo gilvus),Canada,Empidonax alnorum_Alder Flycatcher,-123.4621,18:29
aldfly,2014-06-17,82,XC189589.mp3,Alder Flycatcher,1-3,"['Setophaga magnolia_Magnolia Warbler', ""Gallinago delicata_Wilson's Snipe"", 'Leiothlypis peregrina_Tennessee Warbler']",58.7648,44100 (Hz),song,300 m,128000 (bps),Magnolia Warbler (Setophaga magnolia); Wilson's Snipe (Gallinago delicata); Tennessee Warbler (Leiothlypis peregrina),Canada,Empidonax alnorum_Alder Flycatcher,-122.7268,07:40
aldfly,2015-05-25,50,XC247801.mp3,Alder Flycatcher,Not specified,"['Geothlypis trichas_Common Yellowthroat', 'Melospiza melodia_Song Sparrow', 'Corvus brachyrhynchos_American Crow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Bombycilla cedrorum_Cedar Waxwing', 'Passerina cyanea_Indigo Bunting', 'Setophaga citrina_Hooded Warbler']",42.4353,44100 (Hz),song,300 m,128000 (bps),Common Yellowthroat (Geothlypis trichas); Song Sparrow (Melospiza melodia); American Crow (Corvus brachyrhynchos); Red-winged Blackbird (Agelaius phoeniceus); American Yellow Warbler (Setophaga aestiva); Cedar Waxwing (Bombycilla cedrorum); Indigo Bunting (Passerina cyanea); Hooded Warbler (Setophaga citrina),United States,Empidonax alnorum_Alder Flycatcher,-76.4015,10:30
aldfly,1992-12-00,11,XC264715.mp3,Alder Flycatcher,Not specified,['Thamnophilus schistaceus_Plain-winged Antshrike'],-0.917,44100 (Hz),call,600 m,128000 (bps),Plain-winged Antshrike (Thamnophilus schistaceus),Ecuador,Empidonax alnorum_Alder Flycatcher,-77.8,?
aldfly,2015-06-11,73,XC269063.mp3,Alder Flycatcher,Not specified,"[""Catharus ustulatus_Swainson's Thrush"", ""Gallinago delicata_Wilson's Snipe""]",63.9716,44100 (Hz),"call, song",189 m,128000 (bps),Swainson's Thrush (Catharus ustulatus); Wilson's Snipe (Gallinago delicata),United States,Empidonax alnorum_Alder Flycatcher,-151.603,03:03
aldfly,2017-05-27,10,XC374636.mp3,Alder Flycatcher,Not specified,['Troglodytes aedon_House Wren'],39.7791,44100 (Hz),"male, song",1000 m,87990 (bps),House Wren (Troglodytes aedon),United States,Empidonax alnorum_Alder Flycatcher,-101.8067,14:30
aldfly,2011-05-28,10,XC78890.mp3,Alder Flycatcher,1-3,[],44.707,44100 (Hz),song,280 m,196821 (bps),,United States,Empidonax alnorum_Alder Flycatcher,-93.329,12:20
ameavo,2014-05-20,28,XC179466.mp3,American Avocet,Not specified,[],28.8092,48000 (Hz),call,0 m,128000 (bps),,Mexico,Recurvirostra americana_American Avocet,-111.9164,09:30
